Model,Scenario,Region,Variable,Unit,2030
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Non-EU-Balkans>Greece,Network|Electricity|Maximum Flow,MW,300.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Non-EU-Balkans>Hungary,Network|Electricity|Maximum Flow,MW,700.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Non-EU-Balkans>Romania,Network|Electricity|Maximum Flow,MW,200.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Norway>Denmark,Network|Electricity|Maximum Flow,MW,1700.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Norway>Germany,Network|Electricity|Maximum Flow,MW,1444.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Norway>Sweden,Network|Electricity|Maximum Flow,MW,3445.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Norway>The Netherlands,Network|Electricity|Maximum Flow,MW,723.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Norway>United Kingdom,Network|Electricity|Maximum Flow,MW,2800.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Poland>Czech Republic,Network|Electricity|Maximum Flow,MW,298.4508378
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Poland>Germany,Network|Electricity|Maximum Flow,MW,225.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Poland>Slovakia,Network|Electricity|Maximum Flow,MW,1049.593336
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Poland>Sweden,Network|Electricity|Maximum Flow,MW,265.916667
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capacity|Electricity|Biomass|w/o CCS,MW,737.896451404882
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capacity|Electricity|Coal|Hard coal|w/o CCS,MW,1756.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capacity|Electricity|Gas|CCGT|w/o CCS,MW,3465.662801543978
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capacity|Electricity|Hydro|Run of River,MW,4373.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capacity|Electricity|Solar|PV,MW,11553.53323567708
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capacity|Electricity|Wind|Onshore,MW,14351.49046815422
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capital Cost|Electricity|Biomass|w/ CCS,EUR/MW,8613734.999999998
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capital Cost|Electricity|Biomass|w/o CCS,EUR/MW,2511014.999999999
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capital Cost|Electricity|Coal|Hard coal|w/ CCS,EUR/MW,4779101.7857142845
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capital Cost|Electricity|Coal|Hard coal|w/o CCS,EUR/MW,1695199.9999999998
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capital Cost|Electricity|Coal|Lignite|w/o CCS,EUR/MW,2013049.9999999998
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capital Cost|Electricity|Gas|CCGT|w/ CCS,EUR/MW,2383875.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capital Cost|Electricity|Gas|CCGT|w/o CCS,EUR/MW,663122.3529411763
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capital Cost|Electricity|Gas|OCGT|w/o CCS,EUR/MW,394232.55813953484
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capital Cost|Electricity|Geothermal,EUR/MW,4735964.999999999
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capital Cost|Electricity|Hydrogen|OCGT,EUR/MW,362076.17874999996
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capital Cost|Electricity|Nuclear,EUR/MW,6356999.999999998
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capital Cost|Electricity|Oil|w/o CCS,EUR/MW,688674.9999999999
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capital Cost|Electricity|Solar|PV,EUR/MW,476774.99999999977
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capital Cost|Electricity|Wind|Offshore,EUR/MW,2051191.9999999998
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Capital Cost|Electricity|Wind|Onshore,EUR/MW,1059499.9999999998
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Final Energy|Electricity,MWh/yr,75667584.46808057
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Final Energy|Electricity|Heat,MWh,23648226.95429531
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Final Energy|Electricity|Transportation,MWh,10527100.23634957
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Fixed Cost|Electricity|Biomass|w/ CCS,EUR/MW/yr,82863.49499999997
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Fixed Cost|Electricity|Biomass|w/o CCS,EUR/MW/yr,55242.32999999998
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Fixed Cost|Electricity|Coal|Hard coal|w/ CCS,EUR/MW/yr,79651.69642857142
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Fixed Cost|Electricity|Coal|Hard coal|w/o CCS,EUR/MW/yr,42379.999999999985
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Fixed Cost|Electricity|Coal|Lignite|w/o CCS,EUR/MW/yr,40260.99999999999
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Fixed Cost|Electricity|Gas|CCGT|w/ CCS,EUR/MW/yr,39731.24999999999
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Fixed Cost|Electricity|Gas|CCGT|w/o CCS,EUR/MW/yr,18011.499999999993
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Fixed Cost|Electricity|Gas|OCGT|w/o CCS,EUR/MW/yr,8475.999999999998
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Fixed Cost|Electricity|Geothermal,EUR/MW/yr,84759.99999999997
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Fixed Cost|Electricity|Hydrogen|OCGT,EUR/MW/yr,10862.285362499999
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Fixed Cost|Electricity|Nuclear,EUR/MW/yr,100122.75
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Fixed Cost|Electricity|Oil|w/o CCS,EUR/MW/yr,6897.344999999998
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Fixed Cost|Electricity|Wind|Offshore,EUR/MW/yr,61535.75999999998
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Portugal,Fixed Cost|Electricity|Wind|Onshore,EUR/MW/yr,21189.999999999993
