Region,Sector,Technology,Mode_of_operation,Fuel,Timeslice,Type,Unit,PathwayScenario,Year,Value
DolAmroth,Power,RES_PV_Utility_Inf,1,Power,8,Production,PJ,Gondor_globalLimit_364,2045,23.201523097004497
DolAmroth,Power,RES_PV_Utility_Inf,1,Power,8,Production,PJ,Gondor_globalLimit_364,2050,28.899860919409765
DolAmroth,Power,RES_PV_Utility_Inf,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2035,4.901600018036796
DolAmroth,Power,RES_PV_Utility_Inf,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2040,12.994730301552195
DolAmroth,Power,RES_PV_Utility_Inf,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2045,12.994730301552195
DolAmroth,Power,RES_PV_Utility_Inf,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2050,16.186260567030796
DolAmroth,Power,RES_PV_Utility_Inf,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2035,5.404220101414675
DolAmroth,Power,RES_PV_Utility_Inf,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2040,14.327236504344153
DolAmroth,Power,RES_PV_Utility_Inf,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2045,14.327236504344153
DolAmroth,Power,RES_PV_Utility_Inf,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2050,17.846032805858957
DolAmroth,Power,RES_PV_Utility_Inf,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2035,3.558498236241126e-5
DolAmroth,Power,RES_PV_Utility_Inf,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2040,9.434006179276839e-5
DolAmroth,Power,RES_PV_Utility_Inf,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2045,9.434006179276839e-5
DolAmroth,Power,RES_PV_Utility_Inf,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2050,0.00011751015886071427
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,8,Production,PJ,Gondor_globalLimit_364,2025,17.769494680454574
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,8,Production,PJ,Gondor_globalLimit_364,2030,38.41226926719853
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,8,Production,PJ,Gondor_globalLimit_364,2035,29.775916069035297
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,8,Production,PJ,Gondor_globalLimit_364,2040,41.285549173487915
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,8,Production,PJ,Gondor_globalLimit_364,2045,41.285549173487915
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,8,Production,PJ,Gondor_globalLimit_364,2050,41.285549173487915
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2025,9.95235037112186
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2030,21.51396925864953
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2035,23.123237775055347
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2040,23.123237775055347
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2045,23.123237775055347
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2050,23.123237775055347
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2025,10.972891572883741
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2030,23.72007045315716
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2035,25.494357760546837
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2040,25.494357760546837
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2045,25.494357760546837
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2050,25.494357760546837
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2025,7.58653881773626e-5
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2030,0.0001639980073228983
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2035,0.00017626523829107147
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2040,0.00017626523829107147
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2045,0.00017626523829107147
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2050,0.00017626523829107147
DolAmroth,Power,RES_Wind_Onshore_Avg,1,Power,8,Production,PJ,Gondor_globalLimit_364,2018,3.231579797351476
DolAmroth,Power,RES_Wind_Onshore_Avg,1,Power,8,Production,PJ,Gondor_globalLimit_364,2025,0.7537376562383873
DolAmroth,Power,RES_Wind_Onshore_Avg,1,Power,8,Production,PJ,Gondor_globalLimit_364,2030,1.780825272822631
DolAmroth,Power,RES_Wind_Onshore_Avg,1,Power,8,Production,PJ,Gondor_globalLimit_364,2040,0.8706662286954107
DolAmroth,Power,RES_Wind_Onshore_Avg,1,Power,8,Production,PJ,Gondor_globalLimit_364,2045,0.8706662286954111
DolAmroth,Power,RES_Wind_Onshore_Avg,1,Power,8,Production,PJ,Gondor_globalLimit_364,2050,0.8706662286954111
