Region,Sector,Emission,Technology,Type,PathwayScenario,Year,Value
Rohan,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2030,0.5474302229697511
Rohan,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2035,0.2657357632517063
Rohan,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2040,0.1031607282349614
Rohan,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2045,0.02001860932572579
Rohan,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2018,16.195462288000808
Rohan,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2025,15.102404703359
Rohan,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2030,14.749889108065492
Rohan,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2035,14.69690121036499
Rohan,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2040,9.963158557081393
Rohan,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2045,4.736160257867363
Rohan,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2018,0.7470459388130463
Rohan,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2025,0.5201793145435003
Rohan,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2030,0.31179055459013644
Rohan,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2035,0.1556290627638361
Rohan,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2040,0.04438938517577237
Rohan,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2018,0.004052798584280237
Rohan,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2025,0.011272499135391759
Rohan,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2030,0.03283736868842105
Rohan,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2035,0.08153927061240426
Rohan,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2040,0.03259654531897296
Rohan,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2018,54.182948676291545
